ingredient,phonetic,flavor,techniques,dishes,pairs_with,volume,tip,possible_substitute,nutritional_profile,Calories,season,botanical_relatives,protein,what_they_are,brands
SALTINESS,,,,,"Bragg Liquid Aminos

Herbamare, an organic herb and salt blend

salt, e.g., kosher, sea, smoked, truffle

sea vegetables, e.g., dulse

soy sauce

tamari, organic wheat-free",,"Tip: Adding salt to a dish diminishes the effects of bitter, sour, and sweet flavors. Below are some ways to add saltiness to a dish.",,,,,,,,
SAUERKRAUT,,Flavor Affinities,,,"apples and apple cider

“bacon”

bay leaf

bread, e.g., rye

caraway seeds

carrots

casseroles

cheese, e.g., Swiss

chestnuts

dill

Eastern European cuisine

fennel seeds

garlic

juniper berries

mushrooms, e.g., porcini

noodles, e.g., egg

oil, e.g., grapeseed

onions

pepper, black

potatoes

rosemary

salad dressing, e.g., Thousand Island

salt

sandwiches, e.g., “Reuben,” “sausage”

sausages, vegan

savory, winter

shallots

sour cream

stews

sugar, brown

tempeh

vinegar, e.g., cider, white wine

wine, dry to off-dry white, e.g., Alsatian Riesling",Volume: moderate–loud,,,Nutritional profile: 80% carbs / 16% protein / 4% fat,Calories: 30 per 1-cup serving,,,Protein: 1 gram,,
SAVORY,,Flavor Affinities,,,"basil

bay leaf

*BEANS, DRIED, e.g., cannellini, white (esp. winter savory)

BEANS, FRESH, e.g., fava, green, lima (esp. summer savory)

beets

bell peppers

black-eyed peas

bouquets garnis

Brussels sprouts

cabbage

cassoulets, vegetarian

cauliflower

celery

cheese, e.g., cottage, cream, goat, Parmesan, and cheese dishes

chestnuts

chives

cumin

eggplant

eggs, e.g., omelets, scrambled

European cuisines

fatty foods

fennel

fines herbes

French cuisine, esp. Provençal

garlic

German cuisine

gravies

herbes de Provence

herbs, other, e.g., as a blending herb

Italian cuisine

kale

lavender

legumes

lemon

lentils

marjoram

Mediterranean cuisines

mint

mushrooms, e.g., porcini

nutmeg

oil, olive

olives

onions

oregano

paprika

parsley

pâtés

peas

polenta

potatoes

rice

rosemary

sage

salad dressings, e.g., vinaigrettes

salads, e.g., bean, potato

sauces, e.g., gravies, tomato sauces

seitan

shallots

soups, e.g., bean, split pea, tomato-based

squash, summer

stews

stock, vegetable

stuffings

tarragon

thyme

tomatoes and tomato sauces

vegetables, esp. root, e.g., turnips

vinegar, e.g., red wine, sherry

wine, red

zucchini",Volume: moderately loud (summer savory)–loud (winter savory),"Tips: Use each type of savory in the season when it’s available; each naturally complements seasonal produce. However, one can almost always be used in place of the other. Winter savory is more biting and pungent than summer, so use less. Add at the end of the cooking process.",Possible substitute: thyme,,,"Season: year-round, esp. summer (summer savory) and winter (winter savory)","Botanical relatives: basil, lavender, marjoram, mint, oregano, rosemary, sage, thyme",,,
SCALLIONS (aka GREEN ONIONS or SPRING ONIONS),,Flavor Affinities,"Techniques: braise, broil, grill, pickle, poach, raw, sauté, simmer, stir-fry",,"artichokes

Asian cuisines

asparagus

basil

bay leaf

beans, e.g., black, fava, white

bell peppers

bok choy

broccoli

butter

carrots

cheese, e.g., cheddar, cream, goat, mild, Parmesan

chiles

Chinese cuisine

cilantro

cinnamon

cloves

corn

couscous

cream

crudités, esp. milder scallions

cucumbers

curry powder/spices and curries

daikon

dill

dumplings, Asian

eggplant, e.g., Japanese

EGGS, e.g., omelets, quiches

fennel

garlic

ginger

grains, whole, e.g., couscous

gravies

greens, e.g., bitter

honey

Japanese cuisine

Korean cuisine

leeks

lemon, e.g., juice

lemongrass

lima beans

lime

mangoes

marinades

milk, coconut

mint

miso

mushrooms

mustard, e.g., Dijon, and mustard seeds

NOODLES, ASIAN, e.g., soba

nutmeg

oil, e.g., olive, peanut, sesame

oranges

oregano

pancakes, scallion

papayas

paprika

parsley

pastas

peanuts

pepper, e.g., black, white

pineapple

POTATOES, e.g., baked, mashed

rice, e.g., black, brown, sushi, wild

risottos

rosemary

sage

salad dressings

SALADS, e.g., asparagus, corn, noodle, potato, tomato, zucchini

salsas

salt, e.g., kosher

sandwiches

sauces

scallion pancakes

sesame oil

SOUPS, e.g., gazpacho, mushroom, noodle

Southeast Asian cuisines

soy sauce

squash

stir-fries

stock, e.g., vegetable

sugar

tabbouleh

Thai cuisine

thyme

tofu

tomatoes

vegetables

vinegar, e.g., balsamic, champagne, cider, rice, white wine

walnuts

watermelon

zucchini",Volume: quiet/moderate (scallions)–moderate/loud (green onions),,,Nutritional profile: 81% carbs / 14% protein / 5% fats,"Calories: 35 per 1-cup serving (raw, chopped)",Season: spring (scallions)–summer (green onions),,Protein: 2 grams,What they are: baby onions that mature into green onions (Immature scallions and green onions are both often referred to as spring onions and can be used interchangeably.),
"SCRAMBLES (see TOFU, SCRAMBLED)",,,,,,,,,,,,,,,
SEA BEANS (aka GLASSWORT or SAMPHIRE),,"Flavor: salty/sour, with notes of apples (green), asparagus, the ocean, and/or spinach, and a crisp, crunchy texture (when fresh)","Techniques: blanch, deep-fry, pickle, raw, sauté, steam, stir-fry (Note: Cook quickly to retain its crispness.)",,"avocados

cayenne

chiles, e.g., red

dill

garlic

ginger

lemon, e.g., juice

lime, e.g., juice

mushrooms, e.g., shiitake

oil, e.g., olive

pepper, black

salads

stir-fries

tempura

vinegar, e.g., balsamic, rice wine,

white wine",Volume: moderate,,,,,Season: spring–summer,Botanical relatives: not sea vegetables,,What they are: marsh plants,
"SEA VEGETABLES (see also ARAME, DULSE, HIZIKI, KOMBU, NORI, WAKAME)",,"Flavor: salty, with notes of the sea",,"Dishes


Seaweed Salad: Mixed Baby Greens, Laver, Sea Lettuce, Dulse Flakes, Avocado, and Cucumber tossed in Miso Dressing

—118 Degrees (California)



Raw Sea Vegetable and Avocado Salad with Satsuma Mandarin, Marinated Shiitake Mushroom, Shredded Daikon and Carrot, Citrus-Ginger Vinaigrette, Wasabi Cream, and Chile-Toasted Cashews

—Millennium (San Francisco)



Sea Cake: Butternut Squash, Yam and Sea Vegetable Croquette, Pesto, Sweet Chili Aioli

—Real Food Daily (Los Angeles)",,"Volume: range from quieter (e.g., arame, wakame)–louder (e.g., hiziki)","Tips: Kept in a cool, dry area, sea vegetables store beautifully. Soak dried sea vegetables in cold water for 5+ minutes to reconstitute before cooking (and to reduce sodium). Serve either cold or hot.",,,,,,,,
"SEASONALITY (see AUTUMN, SPRING, SUMMER, WINTER)",,,,,,,,,,,,,,,
"SEAWEED (see SEA VEGETABLES, ARAME, DULSE, HIZIKI, KELP, NORI, WAKAME)",,,,,,,,,,,,,,,
"SEEDS, CARAWAY (see CARAWAY SEEDS)",,,,,,,,,,,,,,,
"SEEDS, CHIA (see CHIA SEEDS)",,,,,,,,,,,,,,,
"SEEDS, FLAX (see FLAXSEEDS)",,,,,,,,,,,,,,,
"SEEDS, HEMP",,"Flavor: slightly sweet, with notes of nuts, pine nuts, sesame seeds, sunflower seeds, and/or vanilla, and a buttery, creamy texture",,,"almonds

avocados

BAKED GOODS, e.g., breads, cookies, muffins, piecrusts, quick breads

beans, white, e.g., cannellini

bell peppers

berries

blackberries

cabbage

carrots

cashews and cashew butter

CEREALS, breakfast, e.g., muesli

celery root

cheese, e.g., cottage

chili, vegetarian

chocolate

cilantro

dips

eggs, e.g., omelets

grains, whole

granola

lemon, e.g., juice

lime, e.g., juice

mushrooms, e.g., portobello

noodles, e.g., soba

oatmeal

oil, e.g., hemp

onions, green

PESTOS

pilafs

popcorn

rice

salad dressings

SALADS, e.g., green

smoothies

soups

spreads, e.g., chickpea

squash, winter, e.g., acorn, butternut

stir-fries

trail mixes

vegetables

veggie burgers

vinegar, white wine

walnuts

watercress

yogurt",Volume: quiet–moderate,,,,,,,,,Brand: Nutiva
"SEEDS, POPPY",,Flavor Affinities,,,"almonds

apples

Asian cuisines

BAKED GOODS, e.g., bagels, biscuits, breads, cakes, cookies, pastries, rolls

beans, e.g., green

blueberries

butter

buttermilk

cabbage

candies

carrots

cauliflower

cheese, e.g., ricotta

cinnamon

cloves

cream

curry powder

desserts

dips, e.g., cheese

eggplant

eggs and egg dishes

(Central) European cuisines

fruits

ginger

honey

Indian cuisine

LEMON, e.g., juice, zest

lentils

Mediterranean cuisines

Middle Eastern cuisines

noodles

nutmeg

onions, e.g., sweet

oranges and blood oranges, e.g., juice, zest

pastas, e.g., pappardelle

potatoes, e.g., boiled

plums, dried

rice

Russian cuisine

SALAD DRESSINGS, esp. creamy, e.g., for fruit or green salads

salads, e.g., fruit, pasta

sauces, e.g., cream

sesame seeds

slaws, e.g., cole

soups

sour cream

spinach

strawberries

sugar

tomatoes

Turkish cuisine

vanilla

vegetables

walnuts

zucchini",Volume: quiet,Tip: Toast poppy seeds to heighten their flavor.,,,,,,,,
"SEEDS, PUMPKIN",,Flavor Affinities,"Techniques: bake (at 250°F about 60–90 minutes), boil, raw, roast (at 350 for 15–20 minutes), toast","Dishes


Pumpkin Seed-Crusted Seitan with Quinoa, Corn Pilaf, Sautéed Lobster Mushrooms, Broccoli, Leeks, and a Smoky Tomato-Chipotle Sauce with Radish Salad

—Candle 79 (New York City)","American cuisine

baked goods, e.g., breads, cakes, cookies, muffins

beans, e.g., black, green

breadings

caramel

cayenne

cheese, e.g., goat, quesos

chiles, e.g., chipotle, dried ancho, green, jalapeño

chili powder, e.g., chipotle

cilantro

cinnamon

coriander

corn

cranberries, dried

cumin

curry powder

enchiladas

garlic

grains, whole, e.g., farro, millet, wheat berrries

granola

hazelnuts

lemon, e.g., juice

lime, e.g., juice

maple syrup

masa

“mayonnaise,” vegan

MEXICAN CUISINE

moles

muesli

oatmeal

OIL, e.g., corn, olive, peanut, pumpkin seed, safflower, sunflower, vegetable

pestos

pumpkin

quinoa

raisins

rice, e.g., wild

salad dressings

salads, e.g., green, noodle, pasta

salsas

SALT, e.g., kosher, sea

SAUCES, e.g., mole, pumpkin seed

seitan

soups, e.g., butternut squash, pumpkin

South American cuisines

Southwestern (U.S.) cuisine

soy sauce

spinach

spreads

squash, e.g., butternut

stews

sugar, e.g., brown

tamales

tamari

tofu, e.g., in scrambles

tomatillos

tomatoes and sun-dried tomatoes

trail mixes

veggie burgers

yams",Volume: quiet,"Tips: Rinse seeds, then soak in salted water for a few hours. Let dry before toasting. You can also roast other winter squash seeds in the same way as pumpkin seeds.",Possible substitute: sunflower seeds,Nutritional profile: 71% fat / 16% protein / 13% carbs,Calories: 150 per 1-ounce serving (dried),Season: autumn,,Protein: 7 grams,,
"SEEDS, SESAME (see SESAME SEEDS)",,,,,,,,,,,,,,,
"SEEDS, SUNFLOWER",,Flavor Affinities,"Techniques: raw, roast, sprout, toast","Dishes


Warm Sunflower Seed Soup, Burnt Onion, Puffed Rices and Grains, Pumpkin Seeds, Black Tea

—Oxheart (Houston)","apricots

BAKED GOODS, e.g., breads, cookies, muffins, piecrusts

beans, green

casseroles

cereals, e.g., hot breakfast

cranberries, dried

desserts

fruit

GRAINS, WHOLE, e.g., kasha, millet, oats, quinoa, long-grain rice, wheat berries

GRANOLA

honey

leeks

lemon

lentils

molasses

muesli

nutritional yeast

nuts, e.g., almonds, hazelnuts

pancakes

pastas

pâtés

pestos

raisins

“risottos”

SALADS, e.g., green

seeds, other, e.g., flax, pumpkin

soups

Southwestern (U.S.) cuisine

spreads

stuffings

tamari

tofu, esp. silken

tomatoes, sun-dried

trail bars and mixes

veggie burgers

yogurt",Volume: quiet–moderate,"Tips: To enhance flavor, toast before using. Check out sunflower seed butter as an alternative to peanut butter.",Possible substitute: pumpkin seeds,Nutritional profile: 74% fat / 14% carbs / 12% protein,Calories: 165 per 1-ounce serving (dried),Season: autumn,,Protein: 6 grams,,
SEITAN (see also tips for NAMA-FU),[SAY-tahn],Flavor Affinities,"Techniques: bake, barbecue, fry, grill, marinate, pan-sear, sauté, sear, steam, stew, stir-fry","Dishes


Seitan Scallopini: Seitan Cutlets in a White Wine-Lemon-Caper Sauce, served with Mashed Potatoes and Kale

—Blossom (New York City)



Seitan Skewers with Chimichurri Citrus-Herb Sauce

—Candle Café (New York City)



Scallopini with Marsala-Glazed Morel Mushrooms (pictured above)

—Crossroads (Los Angeles)



All Veggie Meatloaf: Organic Lentil, Seitan, Shiitake Mushrooms, and Sweet Potato Loaf with Miso Gravy and Wok-Sautéed Greens

—Josie’s (New York City)



Barbeque Seitan with Mushroom Sage Cornbread Stuffing and Seared Collard Greens

—Karyn’s on Green (Chicago)



Seitan and Waffles with Caramelized Onions, Ancho Chili-Maple Redux, Watercress and Creamy Caesar, and Candied Walnuts

—Plant (Asheville, NC)



Barbecued Seitan: Molasses-Mustard Glazed Seitan, Crispy Fried Polenta Tots, and Slow-Cooked Collard Greens

—Portobello (Portland, OR)



The Club (Sandwich): Crispy Seitan, Tempeh Bacon, Avocado, Lettuce, Tomato, and Vegenaise on Sourdough Bread

—Real Food Daily (Los Angeles)



Blackened Seitan, Creamy Grits, Melted Collards, Smoked Onion, and Chili Vinegar

—True Bistro (Somerville, MA)","Tips: For peak flavor, be sure to marinate the seitan for at least a few hours. Add texture through seasoned crusts, e.g., herbs, panko. Use seitan “scraps” for sauces, soups, taco fillings. Seitan also freezes well.

You can easily make your own seitan from scratch with vital wheat gluten, seasoning it to taste (e.g., as you would making your own chorizo or gyros). However, if you’re just getting started, you might try one of Arrowhead Mills’s quick mixes or a Knox Mountain mix. You can also find commercially prepared seitan from national brands like Lightlife and WhiteWave, or local producers like The Bridge (Middleton, CT).",Volume: quiet,"Tips: For peak flavor, be sure to marinate the seitan for at least a few hours. Add texture through seasoned crusts, e.g., herbs, panko. Use seitan “scraps” for sauces, soups, taco fillings. Seitan also freezes well.

You can easily make your own seitan from scratch with vital wheat gluten, seasoning it to taste (e.g., as you would making your own chorizo or gyros). However, if you’re just getting started, you might try one of Arrowhead Mills’s quick mixes or a Knox Mountain mix. You can also find commercially prepared seitan from national brands like Lightlife and WhiteWave, or local producers like The Bridge (Middleton, CT).","Possible substitutes: tempeh, extra-firm or super-firm tofu",Nutritional profile: 81% protein / 15% carbs / 4% fat,Calories: 105 calories per 1-ounce serving (vital wheat gluten),,,Protein: 21 grams,,
"SESAME OIL (see OIL, SESAME)",,,,,,,,,,,,,,,
SESAME SEEDS—IN GENERAL (aka GOMA),,Flavor Affinities,"Techniques: raw, roast",,"ASIAN CUISINES, esp. black sesame seeds

asparagus

avocado

BAKED GOODS, e.g., bagels, breads, breadsticks, cakes, cookies, corn bread, crackers, pastries, piecrusts

bananas

basil

beans, e.g., green

berries

broccoli

brown rice syrup

burdock

cabbage

carrots

casseroles

chickpeas

chili, e.g., pepper flakes, oil

Chinese cuisine, esp. black sesame seeds

cilantro

citrus, e.g., lemon, lime

cucumber

daikon

dates

desserts, e.g., cakes, cookies, puddings

dressings

falafel

fruit

garlic

GINGER

gomashio (sesame seeds + salt, in an 8:1 ratio)

grains, whole, e.g., barley, couscous, millet, quinoa, rice

granola

gravies

greens, bitter, salad

halvah

honey

Indian cuisine

Japanese cuisine, esp. black sesame seeds

kuzu

maple syrup

MIDDLE EASTERN CUISINE

mirin

miso

mushrooms, e.g., shiitake

NOODLES, ESP. ASIAN, e.g., soba

nori

“pesto”

RICE, e.g., sticky

salad dressings

salads, e.g., fruit, green, pasta

salt, e.g., sea

sauces, e.g., mole, tahini

scallions

seeds, other, e.g., flax, hemp, poppy

seitan

sesame, e.g., butter, oil, paste

shallots

shiso, e.g., red

snow peas

soups

soy sauce

spinach

spreads

stir-fries

sugar snap peas

sumac

sushi, e.g., nori rolls

tahini

tamari

thyme

TOFU

tomatoes

trail mixes

vegetables

vinegar, rice

za’atar",Volume: quiet (white seeds)–moderate (dark seeds),Tips: Toast to bring out their flavor. Use ground or whole.,,Nutritional profile: 73% fats / 16% carbs / 11% protein,Calories: 160 per 1-ounce serving (dried),,,Protein: 5 grams,,
SHALLOTS,,Flavor Affinities,"Techniques: bake, blanch, boil, braise, deep-fry, fry, grill, pickle, raw, roast, sauté, stew, stir-fry, toast",,"Asian cuisines

asparagus

avocados

basil

bay leaf

beans, green

beets

Brussels sprouts

butter

carrots

cheese, e.g., Roquefort

chiles

Chinese cuisines

chives

CITRUS, e.g., grapefruit, lemon, lime, orange

coconut milk

corn

cream

curries

dips

eggplant

eggs, e.g., omelets

endive

European cuisines, e.g., French, Italian

fennel

French cuisine, esp. northern

fruit

galangal

garlic

ginger

grains, whole, e.g., barley, bulgur, kasha, rice

gravies

greens, bitter, e.g., turnips

honey

legumes, e.g., lentils

lemongrass

lemon, e.g., juice, zest

lentils, e.g., yellow

lettuce

lime

marinades

Mediterranean cuisines

miso

MUSHROOMS, e.g., shiitake

mustard, e.g., Dijon

noodles, e.g., Asian, stir-fried

oil, e.g., grapeseed, hazelnut, olive, walnut

orange

papaya

parsley

parsnips

pastas

peanuts

pepper, black

POTATOES

raisins

rosemary

sage

SALAD DRESSINGS, esp. vinaigrettes

SALADS

salt, sea

SAUCES, e.g., butter, French

soups

SOUTHEAST ASIAN CUISINES

squash, e.g., butternut

stews

stock, vegetable

sugar, e.g., brown

tarragon

thyme

tofu

tomatoes

vegetables, e.g., root, e.g., turnips

VINEGAR, e.g., balsamic, brown rice, champagne, cider, red wine, sherry, white wine

WINE, e.g., dry red or white

Worcestershire sauce, vegan

zucchini",Volume: quiet–moderate,Tip: Shallots are quieter than garlic or onions.,Possible substitute: onions,Nutritional profile: 89% carbs / 10% protein / 1% fat,"Calories: 10 per 1-tablespoon serving (raw, chopped)",Season: summer–autumn,"Botanical relatives: asparagus, chives, garlic, leeks, onions",,,
